country,longitude,latitude,continent,war,leader,proud,politics,better,tech,trust,jobs
Argentina,-63.616672,-38.416097,South America,58.1,26.700000000000003,82.6,25.7,32.8,66.0,17.1,23.7
Australia,133.775136,-25.274398,Oceania,68.9,24.2,92.80000000000001,55.599999999999994,23.1,58.0,39.4,25.3
Brazil,-51.92528,-14.235004,South America,69.6,57.9,83.4,30.9,46.2,69.8,2.8,35.4
Chile,-71.542969,-35.675147,South America,69.3,32.5,86.5,20.2,39.599999999999994,51.4,21.4,29.6
China,104.195397,35.86166,Asia,89.3,No data,86.4,No data,49.3,92.1,50.4,41.7
Colombia,-74.297333,4.570868,South America,No data,50.6,96.7,29.3,31.9,83.0,10.7,29.1
Egypt,30.802498,26.820553,Africa,No data,No data,No data,No data,No data,No data,No data,No data
Georgia,43.356892,42.315407,Asia,65.1,60.9,93.19999999999999,49.5,77.2,78.0,17.7,63.8
India,78.96288,20.593684,Asia,81.5,44.2,87.69999999999999,37.6,41.6,54.8,32.8,45.4
Iraq,43.679291,33.223191,Asia,No data,No data,No data,No data,No data,No data,No data,No data
Japan,138.252924,36.204824,Asia,17.2,26.4,60.0,51.1,43.1,64.0,39.8,31.6
Jordan,36.238414,30.585164,Asia,No data,No data,No data,No data,No data,No data,No data,No data
Mexico,-102.552784,23.634501,North America,58.9,38.7,90.9,41.5,39.9,64.1,26.4,25.4
Moldova,28.369885,47.411631,Europe,72.0,52.400000000000006,74.4,34.6,63.5,77.6,21.8,50.8
Morocco,-7.09262,31.791702,Africa,No data,No data,No data,No data,No data,No data,No data,No data
New Zealand,174.885971,-40.900557,Oceania,47.1,17.4,89.4,59.3,15.100000000000001,35.3,47.5,12.6
Nigeria,8.675277,9.081999,Africa,55.2,33.8,84.3,36.8,70.5,81.7,16.4,55.9
Pakistan,69.345116,30.375321,Asia,No data,63.699999999999996,97.5,No data,65.7,No data,20.4,76.8
Peru,-75.015152,-9.189967,South America,85.1,29.5,94.2,32.0,27.700000000000003,71.7,4.9,19.4
Philippines,121.774017,12.879721,Asia,84.2,64.3,94.5,49.4,56.9,81.5,5.5,50.1
Poland,19.145136,51.919438,Europe,72.2,No data,95.4,42.0,51.2,73.8,16.9,43.0
Romania,24.96676,45.943161,Europe,70.5,40.0,81.6,39.2,58.9,75.9,17.9,37.4
Russian Federation,105.318756,61.52401,Europe,68.9,42.599999999999994,68.7,34.7,53.7,83.6,23.2,47.4
Serbia,21.005859,44.016521,Europe,No data,No data,No data,No data,No data,No data,No data,No data
Slovenia,14.995463,46.151241,Europe,81.9,23.5,86.3,43.699999999999996,41.7,74.4,15.3,25.9
South Africa,22.937506,-30.559482,Africa,59.5,30.0,95.5,49.0,47.599999999999994,67.6,17.6,36.4
South Korea,127.766922,35.907757,Asia,81.6,31.7,No data,61.8,62.599999999999994,66.6,30.3,42.7
Spain,-3.74922,40.463667,Europe,50.3,25.3,89.9,25.900000000000002,23.7,52.6,28.7,26.9
Sweden,18.643501,60.128161,Europe,85.4,25.7,85.1,51.2,16.6,34.4,56.6,7.5
Taiwan,120.960515,23.69781,Asia,73.1,39.1,66.4,39.9,45.400000000000006,91.5,36.9,56.3
Turkey,35.243322,38.963745,Asia,94.8,35.8,93.69999999999999,58.4,61.4,91.2,6.5,66.2
Ukraine,31.16558,48.379433,Europe,59.4,38.6,60.9,39.400000000000006,53.4,63.2,28.8,34.7
United States,-95.712891,37.09024,North America,68.1,23.700000000000003,96.30000000000001,62.900000000000006,28.599999999999998,53.5,35.0,18.6
Uruguay,-55.765835,-32.522779,South America,48.1,23.799999999999997,92.10000000000001,36.9,34.6,58.2,21.6,27.5
