country,war,leader,proud,politics,better,tech,trust,jobs
Argentina,52.7,32.1,91.8,21.700000000000003,29.0,60.5,17.4,27.0
Australia,61.4,22.9,95.30000000000001,57.3,24.3,41.9,45.6,13.7
Brazil,58.2,62.1,83.2,48.099999999999994,31.400000000000002,70.9,9.2,22.2
Chile,53.1,28.5,92.80000000000001,21.9,46.5,53.7,12.4,30.0
China,79.7,21.9,77.4,61.900000000000006,45.3,79.3,49.3,37.0
Colombia,-1,29.5,98.1,22.0,29.1,82.7,14.3,-1
Egypt,79.5,15.8,97.9,36.3,92.30000000000001,77.6,18.5,89.0
Georgia,56.5,43.9,97.0,54.0,64.0,66.5,17.6,51.5
India,69.3,45.6,90.19999999999999,39.099999999999994,53.0,49.7,20.7,50.5
Iraq,30.3,18.0,95.5,60.4,87.5,79.7,38.6,81.7
Japan,15.1,21.099999999999998,57.4,63.400000000000006,30.0,65.8,36.6,25.7
Jordan,86.3,17.0,99.0,39.5,78.6,88.1,30.7,87.9
Mexico,70.0,53.9,95.30000000000001,33.4,27.099999999999998,78.8,15.4,25.1
Moldova,57.4,63.2,65.9,37.0,51.0,63.7,17.6,37.8
Morocco,72.5,23.0,92.0,31.200000000000003,54.599999999999994,56.2,12.8,50.0
New Zealand,47.5,16.400000000000002,90.30000000000001,54.900000000000006,14.2,44.8,48.5,7.8
Peru,73.2,41.099999999999994,-1,21.7,17.0,75.9,6.2,17.3
Poland,64.9,27.0,95.7,40.0,38.5,69.9,18.1,29.5
Romania,56.6,65.69999999999999,82.1,31.5,49.4,64.8,19.3,33.6
Russian Federation,60.3,46.5,80.9,38.1,58.099999999999994,72.2,24.6,35.4
Serbia,48.2,26.400000000000002,74.5,30.7,39.1,59.0,13.6,12.4
Slovenia,60.2,18.1,86.6,44.800000000000004,28.7,69.8,17.5,13.3
South Africa,54.1,39.0,95.4,44.0,47.7,63.7,-1,36.8
South Korea,72.2,47.6,88.6,41.1,58.199999999999996,72.8,28.0,36.4
Spain,38.6,27.700000000000003,92.0,32.3,19.7,65.3,19.8,17.1
Sweden,79.7,17.8,83.9,58.8,7.699999999999999,41.7,65.2,2.1
Taiwan,85.9,58.7,60.3,27.6,42.9,77.7,24.2,43.5
Turkey,93.9,49.0,90.5,38.4,58.900000000000006,71.1,4.8,52.1
Ukraine,56.4,51.8,69.5,50.6,49.4,70.9,24.5,31.2
United States,60.9,31.6,87.69999999999999,58.0,24.2,49.5,39.1,6.7
Uruguay,41.7,31.2,92.80000000000001,36.4,18.4,59.6,24.6,21.2
