country,year,cells,co2,inequality,health,urban,growth,menwo
Argentina,1995,1.163084605,3.51558659702992,48.91,8.31098861,88.654,1.255317203,107.216494845361
Australia,1995,12.37415015,16.9664942012591,No data,7.21999549,86.106,1.215475691,100.0
Brazil,1995,0.7942833481,1.59608856107986,60.24,6.65233641,77.61,1.525090422,109.375
Chile,1995,1.369340714,2.94617538050582,No data,6.71088041,84.372,1.640979234,100.961538461538
China,1995,0.2989324569,2.73477755519341,No data,3.54497723,30.961,1.086509151,85.7142857142857
Colombia,1995,0.7532643719,1.63521380772356,No data,7.34176636,70.516,1.814195612,101.369863013699
Egypt,1995,0.01187165274,1.54219772628633,No data,3.86418241,42.814,1.676340538,69.047619047619
Georgia,1995,0.002959006516,0.454240377984807,No data,5.12490374,53.841,15,103.389830508475
India,1995,0.007950347405,0.953837430859389,No data,4.11030178,26.607,1.895836065,56.25
Iraq,1995,No data,3.83940255134513,No data,No data,68.78,2.815996492,67.1641791044776
Japan,1995,9.408340699,9.50975425016408,No data,6.89681899,78.016,0.3817896011,102.4
Jordan,1995,0.2701959491,3.09348498385252,No data,8.27562163,78.365,3.250354797,90.1960784313725
Mexico,1995,0.7461715484,3.55477650286543,No data,5.14952179,73.368,1.728708042,94.047619047619
Moldova,1995,0.0003226735811,2.57923749159704,No data,9.05333139,46.294,15,100.862068965517
Morocco,1995,0.1095898041,1.12783434712536,No data,3.897714,51.692,1.515401613,54.9019607843137
New Zealand,1995,9.931810637,7.38609256266111,No data,7.07273841,85.333,1.464363787,103.448275862069
Nigeria,1995,0.01181660398,0.317357624101974,No data,4.36889196,38.843,2.356381278,63.768115942029
Pakistan,1995,0.03216730062,0.663356998726252,No data,3.25810931,31.836,2.56499118,42.3076923076923
Peru,1995,0.3086519364,1.00225948007323,No data,4.47622773,70.951,1.789693812,88.659793814433
Philippines,1995,0.7131026603,0.876543137501729,No data,3.44929165,48.29,2.26696433,105.61797752809
Poland,1995,0.1953543282,9.03272396848443,No data,5.47591794,61.493,0.1357210339,103.389830508475
Romania,1995,0.03998068159,5.60339451917822,No data,3.4941521,53.769,15,99.1452991452992
Russian Federation,1995,No data,No data,No data,No data,No data,No data,No data
Serbia,1995,No data,3.80763960342638,No data,7.31661157,51.749,0.05619051049,100.0
Slovenia,1995,1.388512388,7.32510936889422,No data,7.45548818,50.616,0.02156149999,102.777777777778
South Africa,1995,1.292195622,8.53637309270316,56.59,7.48750209,54.486,2.162209528,100.0
South Korea,1995,3.674908748,No data,No data,3.75161854,78.239,1.429457257,No data
Spain,1995,2.396730612,6.1306046874911,No data,7.44459252,75.856,0.2339799718,104.494382022472
Sweden,1995,22.74851707,5.74823003206808,No data,7.96455521,83.824,0.5247039416,103.252032520325
Taiwan,1995,No data,8.37426021606388,No data,No data,No data,No data,96.551724137931
